timestamp,host,ip,dns_ms,tcp_ms,tls_ms,http_status,total_ms
2026-04-08T10:31:57.243181,cloudflare.com,104.16.132.229,9.34,13.08,27.14,301,296.98
2026-04-08T10:32:07.842277,github.com,140.82.112.4,6.23,54.12,75.07,200,487.15
2026-04-08T10:32:28.212066,google.com,173.194.208.113,1.43,9.01,22.58,301,262.41
2026-04-08T10:32:38.691342,cloudflare.com,104.16.132.229,1.71,11.61,20.03,301,341.54
2026-04-08T10:32:49.319052,github.com,140.82.113.4,11.77,50.68,83.13,200,533.62
2026-04-08T10:33:09.727081,google.com,173.194.208.113,1.37,7.07,20.22,301,273.08
2026-04-08T10:33:20.232734,cloudflare.com,104.16.133.229,5.85,6.9,17.11,301,316.13
2026-04-08T10:33:30.847086,github.com,140.82.114.3,7.24,44.56,86.71,200,471.63
2026-04-08T10:33:51.334133,google.com,142.250.114.101,6.79,10.57,19.93,301,281.93
2026-04-08T10:34:01.740235,cloudflare.com,104.16.133.229,1.41,10.22,25.41,301,280.03
2026-04-08T10:34:12.366462,github.com,140.82.114.4,5.83,54.96,77.86,200,489.27
2026-04-08T10:34:32.791546,google.com,142.251.186.100,11.37,17.23,21.17,301,281.48
2026-04-08T10:34:43.207110,cloudflare.com,104.16.133.229,1.72,6.97,17.51,301,321.49
2026-04-08T10:34:53.803955,github.com,140.82.112.4,9.21,49.75,85.88,200,474.24
2026-04-08T10:35:14.233787,google.com,142.251.186.100,1.04,22.2,24.72,301,305.72
2026-04-08T10:35:24.600229,cloudflare.com,104.16.133.229,2.69,13.85,21.19,301,278.63
2026-04-08T10:35:35.235020,github.com,140.82.114.4,10.05,45.16,73.67,200,469.73
2026-04-08T10:35:55.755608,google.com,142.251.186.100,1.35,7.87,22.43,301,268.44
2026-04-08T10:36:06.162091,cloudflare.com,104.16.133.229,1.45,16.85,24.51,301,292.72
2026-04-08T10:36:16.752322,github.com,140.82.112.4,7.94,44.83,73.46,200,461.25
2026-04-08T10:36:37.122293,google.com,142.251.186.100,1.41,8.38,26.07,301,262.45
2026-04-08T10:36:47.594536,cloudflare.com,104.16.132.229,7.64,10.07,22.52,301,340.13
2026-04-08T10:36:58.226499,github.com,140.82.112.4,5.98,40.47,74.67,200,474.76
2026-04-08T10:37:18.573222,google.com,142.251.186.100,1.53,7.79,27.41,301,241.83
2026-04-08T10:37:28.969291,cloudflare.com,104.16.133.229,6.79,10.2,19.8,301,307.61
2026-04-08T10:37:39.840314,github.com,140.82.112.3,9.06,49.06,94.3,200,748.34
2026-04-08T10:38:00.310366,google.com,142.251.186.100,2.57,8.16,23.8,301,274.08
2026-04-08T10:38:10.667705,cloudflare.com,104.16.133.229,1.21,12.25,19.51,301,267.3
2026-04-08T10:38:21.252625,github.com,140.82.114.4,7.31,62.9,88.02,200,498.86
2026-04-08T10:38:41.623218,google.com,142.251.186.100,1.34,7.24,26.83,301,276.49
2026-04-08T10:38:52.022633,cloudflare.com,104.16.133.229,1.32,6.54,23.77,301,316.12
2026-04-08T10:39:02.636508,github.com,140.82.112.4,5.48,43.74,81.34,200,491.27
2026-04-08T10:39:23.080351,google.com,142.251.186.113,13.25,17.33,23.7,301,350.67
2026-04-08T10:39:33.482587,cloudflare.com,104.16.133.229,1.43,8.83,21.3,301,261.83
2026-04-08T10:39:44.237704,github.com,140.82.114.3,6.98,48.81,86.44,200,490.09
2026-04-08T10:40:04.625000,google.com,142.251.186.113,1.55,12.76,23.58,301,279.73
2026-04-08T10:40:15.007034,cloudflare.com,104.16.133.229,1.31,7.44,20.74,301,262.13
2026-04-08T10:40:25.644438,github.com,140.82.113.3,7.02,50.96,91.02,200,519.92
2026-04-08T10:40:46.072823,google.com,142.251.186.113,1.43,7.14,25.02,301,283.98
2026-04-08T10:40:56.474996,cloudflare.com,104.16.133.229,1.37,15.94,22.78,301,294.98
2026-04-08T10:41:07.113913,github.com,140.82.112.3,9.35,51.13,76.7,200,518.74
2026-04-08T10:41:27.584596,google.com,142.251.186.113,1.77,7.2,25.54,301,259.21
2026-04-08T10:41:37.947367,cloudflare.com,104.16.133.229,8.87,12.81,28.71,301,283.28
2026-04-08T10:41:48.642828,github.com,140.82.112.4,15.57,61.59,93.71,200,559.98
2026-04-08T10:42:08.999089,google.com,142.251.186.113,1.37,11.6,24.65,301,272.88
2026-04-08T10:42:19.406186,cloudflare.com,104.16.133.229,2.43,10.04,21.19,301,262.78
2026-04-08T10:42:30.071374,github.com,140.82.114.3,9.81,57.13,77.23,200,529.7
2026-04-08T10:42:50.563465,google.com,142.251.186.113,1.77,6.59,24.0,301,281.83
2026-04-08T10:43:01.006265,cloudflare.com,104.16.133.229,12.9,7.25,37.36,301,324.18
2026-04-08T10:43:11.576040,github.com,140.82.114.3,5.66,44.97,79.19,200,468.54
2026-04-08T10:43:32.161108,google.com,173.194.208.100,26.99,47.0,26.39,301,468.62
2026-04-08T10:43:42.580141,cloudflare.com,104.16.133.229,1.56,6.54,35.05,301,286.84
2026-04-08T10:43:53.187688,github.com,140.82.113.4,6.28,43.57,93.88,200,508.75
2026-04-08T10:44:13.615281,google.com,173.194.208.100,1.49,7.22,19.43,301,246.23
2026-04-08T10:44:24.096524,cloudflare.com,104.16.133.229,1.61,8.77,20.52,301,350.76
2026-04-08T10:44:34.782551,github.com,140.82.113.4,1.71,44.47,86.77,200,593.83
2026-04-08T10:44:55.225738,google.com,173.194.208.100,1.48,24.46,23.89,301,290.46
2026-04-08T10:45:05.662400,cloudflare.com,104.16.133.229,1.71,8.86,40.35,301,293.91
2026-04-08T10:45:16.669885,github.com,140.82.112.3,9.14,46.21,98.74,200,483.04
2026-04-08T10:45:37.067797,google.com,173.194.208.100,1.42,8.36,47.59,301,286.34
2026-04-08T10:45:47.434573,cloudflare.com,104.16.133.229,1.29,10.22,20.71,301,265.4
2026-04-08T10:45:58.023216,github.com,140.82.114.4,8.09,46.85,79.59,200,461.03
2026-04-08T10:46:18.521774,google.com,173.194.208.100,1.36,11.19,52.68,301,358.69
2026-04-08T10:46:28.956150,cloudflare.com,104.16.133.229,7.19,13.96,26.97,301,279.31
2026-04-08T10:46:39.553372,github.com,140.82.114.4,2.65,50.29,83.68,200,506.66
2026-04-08T10:46:59.899493,google.com,173.194.208.100,1.42,7.45,20.03,301,249.33
2026-04-08T10:47:10.361815,cloudflare.com,104.16.133.229,20.22,8.83,23.83,301,374.17
2026-04-08T10:47:20.941242,github.com,140.82.112.4,8.46,49.61,77.44,200,483.06
2026-04-08T10:47:41.559168,google.com,173.194.208.100,1.53,9.72,22.82,301,261.32
2026-04-08T10:47:51.936648,cloudflare.com,104.16.133.229,2.14,8.2,26.75,301,283.36
2026-04-08T10:48:02.593537,github.com,140.82.113.3,8.45,49.99,92.24,200,546.17
2026-04-08T10:48:23.057481,google.com,142.250.113.101,11.07,9.93,21.99,301,330.29
2026-04-08T10:48:33.405246,cloudflare.com,104.16.133.229,2.14,6.53,20.84,301,263.44
2026-04-08T10:48:44.016708,github.com,140.82.114.3,5.55,48.41,78.43,200,531.42
2026-04-08T10:49:04.859251,google.com,142.250.113.101,2.24,12.78,20.2,301,281.52
2026-04-08T10:49:15.199845,cloudflare.com,104.16.133.229,1.34,9.09,23.03,301,251.73
2026-04-08T10:49:25.748931,github.com,140.82.114.3,1.29,49.42,73.41,200,467.71
2026-04-08T10:49:46.148855,google.com,142.250.113.101,1.37,20.21,23.28,301,274.69
2026-04-08T10:49:56.560931,cloudflare.com,104.16.133.229,1.45,11.36,31.25,301,302.3
2026-04-08T10:50:07.164544,github.com,140.82.112.3,6.8,44.47,89.84,200,484.62
2026-04-08T10:50:27.624406,google.com,142.250.113.101,1.35,7.67,25.21,301,268.47
2026-04-08T10:50:38.003272,cloudflare.com,104.16.133.229,1.51,18.46,25.1,301,292.45
2026-04-08T10:50:48.588625,github.com,140.82.113.4,6.94,49.13,72.97,200,503.24
2026-04-08T10:51:08.954092,google.com,142.250.113.101,1.33,9.33,24.95,301,267.99
2026-04-08T10:51:19.328199,cloudflare.com,104.16.132.229,7.91,9.03,24.71,301,274.91
2026-04-08T10:51:29.946274,github.com,140.82.113.4,7.99,49.11,84.99,200,483.66
2026-04-08T10:51:50.366955,google.com,142.250.113.101,1.15,8.45,24.85,301,288.31
2026-04-08T10:52:00.732784,cloudflare.com,104.16.133.229,7.52,10.63,15.92,301,284.16
2026-04-08T10:52:11.487602,github.com,140.82.113.4,1.16,114.08,86.57,200,604.6
2026-04-08T10:52:32.445311,google.com,142.250.113.101,2.37,55.57,57.77,301,380.08
2026-04-08T10:52:42.828920,cloudflare.com,104.16.133.229,2.14,10.78,36.43,301,296.22
2026-04-08T10:52:53.378656,github.com,140.82.112.4,8.83,49.74,88.89,200,469.88
2026-04-08T10:53:13.783732,google.com,142.250.113.102,9.17,8.49,23.3,301,303.04
2026-04-08T10:53:24.177055,cloudflare.com,104.16.133.229,1.42,6.83,22.32,301,308.4
2026-04-08T10:53:34.792327,github.com,140.82.113.4,10.56,46.11,85.73,200,518.05
2026-04-08T10:53:55.801276,google.com,142.250.113.102,2.85,24.24,21.5,301,322.23
2026-04-08T10:54:06.438326,cloudflare.com,104.16.133.229,9.19,10.59,30.41,301,357.57
2026-04-08T10:54:18.077813,github.com,140.82.113.4,24.59,237.76,171.56,200,1024.45
2026-04-08T10:54:39.258384,google.com,142.250.113.102,1.68,11.3,23.8,301,288.94
2026-04-08T10:54:50.239188,cloudflare.com,104.16.133.229,1.57,8.46,23.84,301,252.7
2026-04-08T10:55:01.354507,github.com,140.82.113.4,7.3,57.74,89.29,200,475.45
2026-04-08T10:55:23.287310,google.com,142.250.113.102,1.55,9.98,22.13,301,265.54
2026-04-08T10:55:34.379145,cloudflare.com,104.16.133.229,1.57,13.78,39.75,301,507.25
2026-04-08T10:55:46.026756,github.com,140.82.112.4,192.7,40.75,79.93,200,788.02
2026-04-08T10:56:07.042982,google.com,142.250.113.102,1.51,8.4,23.39,301,292.88
2026-04-08T10:56:21.457494,cloudflare.com,104.16.133.229,949.69,161.3,374.74,301,3465.84
2026-04-08T10:56:34.374807,github.com,140.82.113.4,10.08,49.68,91.32,200,599.65
2026-04-08T10:56:55.431552,google.com,142.250.113.102,1.51,7.03,24.0,301,324.47
2026-04-08T10:57:06.078932,cloudflare.com,104.16.132.229,13.17,7.1,20.41,301,307.44
2026-04-08T10:57:17.224374,github.com,140.82.113.4,7.96,53.31,81.01,200,594.13
2026-04-08T10:57:37.842198,google.com,142.250.113.102,2.76,12.32,20.39,301,270.87
2026-04-08T10:57:48.876982,cloudflare.com,104.16.132.229,1.67,8.01,20.58,301,312.06
2026-04-08T10:58:00.205354,github.com,140.82.113.4,6.4,102.89,93.39,200,667.11
2026-04-08T10:58:20.947346,google.com,173.194.208.113,7.23,9.7,22.99,301,279.31
2026-04-08T10:58:32.282994,cloudflare.com,104.16.132.229,1.62,13.71,31.48,301,339.3
2026-04-08T10:58:43.525532,github.com,140.82.113.4,8.99,48.85,132.67,200,632.96
2026-04-08T10:59:04.064984,google.com,173.194.208.113,1.42,12.69,18.9,301,252.47
2026-04-08T10:59:14.554239,cloudflare.com,104.16.132.229,1.53,7.58,20.43,301,301.43
2026-04-08T10:59:25.598976,github.com,140.82.112.4,7.93,143.96,109.53,200,699.88
2026-04-08T10:59:46.418333,google.com,173.194.208.113,9.89,12.9,35.66,301,425.39
2026-04-08T10:59:56.945014,cloudflare.com,104.16.132.229,3.55,9.54,25.89,301,313.03
2026-04-08T11:00:07.659641,github.com,140.82.113.3,6.66,56.88,77.42,200,464.12
2026-04-08T11:00:28.041790,google.com,173.194.208.113,1.56,10.16,22.41,301,280.32
2026-04-08T11:00:38.458810,cloudflare.com,104.16.132.229,1.41,32.86,24.18,301,302.45
2026-04-08T11:00:49.145510,github.com,140.82.113.3,3.5,53.13,89.24,200,493.3
2026-04-08T11:01:09.636652,google.com,173.194.208.113,1.22,13.86,32.51,301,304.36
2026-04-08T11:01:20.038019,cloudflare.com,104.16.133.229,7.34,6.61,24.14,301,323.54
2026-04-08T11:01:30.647111,github.com,140.82.113.3,8.87,51.88,91.13,200,504.96
2026-04-08T11:01:51.026767,google.com,173.194.208.113,1.48,7.87,21.74,301,276.13
2026-04-08T11:02:01.703213,cloudflare.com,104.16.132.229,9.13,9.6,35.64,301,513.51
2026-04-08T11:02:12.568780,github.com,140.82.113.3,26.9,49.8,94.2,200,572.41
2026-04-08T11:02:33.381596,google.com,142.250.113.113,8.67,23.92,20.81,301,329.4
2026-04-08T11:02:43.805491,cloudflare.com,104.16.132.229,1.53,11.32,18.67,301,325.4
2026-04-08T11:02:54.873243,github.com,140.82.113.3,17.21,156.89,93.71,200,946.18
2026-04-08T11:03:15.247894,google.com,142.250.113.113,1.82,7.1,19.97,301,261.71
2026-04-08T11:03:25.656377,cloudflare.com,104.16.132.229,2.26,9.05,18.24,301,312.98
2026-04-08T11:03:36.355061,github.com,140.82.113.3,8.11,49.5,97.41,200,570.31
2026-04-08T11:03:56.891448,google.com,142.250.113.113,1.37,14.88,27.32,301,379.97
2026-04-08T11:04:07.313314,cloudflare.com,104.16.132.229,1.34,7.43,42.35,301,301.23
2026-04-08T11:04:18.598412,github.com,140.82.112.4,10.58,59.35,109.09,200,988.01
2026-04-08T11:04:41.340698,google.com,142.250.113.113,1.94,1803.28,30.94,301,2266.57
2026-04-08T11:04:53.089867,cloudflare.com,104.16.132.229,2.02,23.2,26.38,301,291.19
2026-04-08T11:05:03.741001,github.com,140.82.112.4,24.52,42.42,90.86,200,513.4
2026-04-08T11:05:24.261550,google.com,142.250.113.113,1.55,22.45,25.7,301,339.16
2026-04-08T11:05:34.815511,cloudflare.com,104.16.132.229,1.4,9.9,27.47,301,300.94
2026-04-08T11:05:45.420450,github.com,140.82.112.4,1.6,54.1,91.5,200,503.24
2026-04-08T11:06:05.810973,google.com,142.250.113.113,1.6,7.72,25.71,301,281.51
2026-04-08T11:06:16.212950,cloudflare.com,104.16.132.229,9.34,7.48,19.67,301,286.45
2026-04-08T11:06:26.813495,github.com,140.82.112.4,8.53,54.13,81.52,200,484.88
2026-04-08T11:06:47.214527,google.com,142.250.113.113,1.73,9.52,21.39,301,294.47
2026-04-08T11:06:57.611621,cloudflare.com,104.16.132.229,1.38,13.85,20.32,301,275.48
2026-04-08T11:07:08.231520,github.com,140.82.113.3,10.56,50.54,78.5,200,519.75
2026-04-08T11:07:28.825194,google.com,142.251.186.100,7.5,43.49,220.95,301,491.56
2026-04-08T11:07:39.426528,cloudflare.com,104.16.132.229,4.43,8.23,26.27,301,305.87
2026-04-08T11:07:50.029351,github.com,140.82.113.3,8.36,56.21,90.81,200,498.76
2026-04-08T11:08:10.423110,google.com,142.251.186.100,2.21,6.4,36.12,301,289.77
2026-04-08T11:08:20.896896,cloudflare.com,104.16.132.229,1.32,6.08,24.26,301,335.64
2026-04-08T11:08:31.607036,github.com,140.82.113.4,13.11,52.66,93.21,200,596.02
2026-04-08T11:08:52.294255,google.com,142.251.186.100,2.19,21.79,40.87,301,564.65
2026-04-08T11:09:02.790595,cloudflare.com,104.16.132.229,6.86,14.1,31.23,301,366.41
2026-04-08T11:09:13.416612,github.com,140.82.114.3,7.8,61.19,93.81,200,530.83
